Skill,Primary object,Related / used objects,Required params,Field / parameter help (what each field means),What the user can expect (help text)
link_knowledge_article_to_case,Case,Case,"CaseId, KnowledgeArticleId","CaseId (string, REQUIRED): Salesforce case id. | KnowledgeArticleId (string, REQUIRED):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
log_activity,Task,"Account, Case, Contact, Lead, Opportunity, User",Subject,"WhatId (string, optional): Related record for Task.WhatId (Account, Opportunity, Case, etc.). Use WhatId OR WhoId. | WhoId (string, optional): Person for Task.WhoId (Contact or Lead). Use WhoId OR WhatId. | Subject (string, REQUIRED): Task.Subject for the completed activity — must be confirmed with the user. | Description (string, optional): Optional Task.Description notes/summary.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Task. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
remove_campaign_member,Campaign,Campaign,Id,"Id (string, REQUIRED): CampaignMember Id (primary Id of the membership row to delete). Not CampaignId.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
run_internal_prompt,Multiple / generic,Opportunity,"promptRequestId, Id","promptRequestId (string, REQUIRED): The pre-configured GPTfy Prompt Request Id to invoke. Example: ""96a10206d7990a5fabc728ddfd83be0fbd5a9"". Must exist in the org configuration — never make this up. | Id (string, REQUIRED): ONLY the Salesforce Id of the record the prompt should run against (e.g. an Opportunity Id for a Deal Overview prompt).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Multiple / generic. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
schedule_service_appointment,ServiceAppointment,ServiceAppointment,Id,"Id (string, REQUIRED): Salesforce service appointment id. | StartDateTime (string, optional): | EndDateTime (string, optional):",As a user: ask the agent in plain language (or pass JSON params). Primary object: ServiceAppointment. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
search_knowledge_articles,KnowledgeArticleVersion,KnowledgeArticleVersion,searchTerm,"searchTerm (string, REQUIRED): Keywords to search Knowledge.",As a user: ask the agent in plain language (or pass JSON params). Primary object: KnowledgeArticleVersion. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
transfer_record_owner,Any record (OwnerId),"Queue (Group), User","Id, OwnerId","Id (string, REQUIRED): Salesforce Id of the record to reassign. | OwnerId (string, REQUIRED): User Id (005…) or Queue Id (00G…) for the new owner.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Any record (OwnerId). Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_account_fields,Account,Account,Id,"Id (string, REQUIRED): ONLY the Salesforce Id of the Account to update. | Name (string, optional): Account Name. | Industry (string, optional): Industry picklist API value (call fetch_picklist_values first if unsure). | Type (string, optional): Type picklist API value (call fetch_picklist_values first if unsure). | AnnualRevenue (number, optional): Annual revenue as a plain number, no currency symbol or commas. | Phone (string, optional): Account phone number. | Website (string, optional): Account website URL. | Description (string, optional): Long-text description of the Account.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_asset_fields,Asset,Asset,Id,"Id (string, REQUIRED): Salesforce asset id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Asset. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_campaign_fields,Campaign,Campaign,Id,"Id (string, REQUIRED): Campaign Id to update (primary Id of Campaign).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_campaign_member_status,Campaign,Campaign,"Id, Status","Id (string, REQUIRED): CampaignMember Id (primary Id of the member row being updated). | Status (string, REQUIRED): New CampaignMember.Status picklist API value.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_care_plan_fields,CarePlan / CareTask,CarePlan / CareTask,Id,"Id (string, REQUIRED): Salesforce care plan id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: CarePlan / CareTask. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_case_fields,Case,"Case, User","Id, fields","Id (string, REQUIRED): ONLY the Salesforce Id of the Case to update. | fields (object, REQUIRED): Map of Case field API names to NEW values. Only the fields the user wants to change.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_contact_fields,Contact,"Contact, User","Id, fields","Id (string, REQUIRED): ONLY the Salesforce Id of the Contact to update. | fields (object, REQUIRED): Map of Contact field API names to their NEW values. Pass only the fields the user wants to change.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_contract_fields,Contract,Contract,Id,"Id (string, REQUIRED): Contract Id to update (primary Id of Contract).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contract. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_cpq_quote_fields,Quote,Quote,Id,"Id (string, REQUIRED): Salesforce cpq quote id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_cpq_quote_line,Quote,Quote,Id,"Id (string, REQUIRED): Salesforce line id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_event,Event,Event,Id,"Id (string, REQUIRED): Salesforce Event Id. | Subject (string, optional): | StartDateTime (string, optional): | EndDateTime (string, optional): | Location (string, optional): | Description (string, optional):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Event. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_financial_account_fields,Account,Account,Id,"Id (string, REQUIRED): Salesforce financial account id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_lead_fields,Lead,"Lead, User","Id, fields","Id (string, REQUIRED): ONLY the Salesforce Id of the Lead to update. | fields (object, REQUIRED): Map of Lead field API names to their NEW values. Only fields the user wants to change.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Lead. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_opportunity_contact_role,Contact,Contact,Id,"Id (string, REQUIRED): Salesforce contact role id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_opportunity_fields,Opportunity,Opportunity,"Id, fields","Id (string, REQUIRED): ONLY the Salesforce Id of the Opportunity to update. | fields (object, REQUIRED): Map of Opportunity field API names to NEW values. Common fields: StageName, Amount, CloseDate (yyyy-MM-dd), Probability, ForecastCategoryName, NextStep, Description and custom fields. Pass numbers as numbers, dates as ""yyyy-MM-dd"", booleans as true/false, picklist values as exact API values.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_opportunity_line_item,Opportunity,Opportunity,Id,"Id (string, REQUIRED): Salesforce Id of the OpportunityLineItem to update. | Quantity (number, optional): | UnitPrice (number, optional): | Discount (number, optional):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_order_fields,Order,Order,Id,"Id (string, REQUIRED): Salesforce order id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_order_item,Order,Order,Id,"Id (string, REQUIRED): Salesforce order item id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_quote_fields,Quote,Quote,Id,"Id (string, REQUIRED): Salesforce quote id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_quote_line_item,Quote,Quote,Id,"Id (string, REQUIRED): Salesforce line item id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_service_appointment,ServiceAppointment,ServiceAppointment,Id,"Id (string, REQUIRED): Salesforce service appointment id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: ServiceAppointment. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_subscription_fields,Subscription (feature),Subscription (feature),Id,"Id (string, REQUIRED): Salesforce subscription id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Subscription (feature). Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_task,Task,Task,Id,"Id (string, REQUIRED): Salesforce Task Id. | Subject (string, optional): | Status (string, optional): | Priority (string, optional): | ActivityDate (string, optional): Due date yyyy-MM-dd. | Description (string, optional):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Task. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
update_work_order_fields,Order,Order,Id,"Id (string, REQUIRED): Salesforce work order id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
